,Title,Video ID,Published At,Keyword,Likes,Comments,Views
57,Biden plans to forgive $300 billion in student loan debt: Report,OTFKyW-vc_Y,08/24/2022,news,1573,2670,60528
58,ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,IH3DYzS4MdI,08/23/2022,news,1145,793,106127
59,More than 100 classified Trump docs recovered from Mar-a-Lago in January,q7sXUpqA_X4,08/23/2022,news,474,1553,75301
60,"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",NS-9bd2hOOQ,08/24/2022,news,82,26,17145
61,JORNAL DA MANHÃ - 24/08/2022,0IH09JBETbI,08/24/2022,news,23828,47,500097
62,Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,lX3EBSNjPII,08/23/2022,news,775,1517,127082
63,Netanyahu: This will make the Middle East a nuclear powder keg,Tey5qEth4oA,08/24/2022,news,8484,2192,237313
64,Nightly News Full Broadcast - Aug. 19,L5p4Nov0KkU,08/20/2022,news,7946,1559,905023
65,"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",MSTmUJU48g4,08/21/2022,news,510,560,34715
66,Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News,Sdm1WsGGU0w,08/24/2022,news,129,7,10642
67,Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,08/24/2022,news,1288,3,172513
68,【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,08/24/2022,news,257,1,62189
69,අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,08/24/2022,news,612,18,60835
70,"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,08/23/2022,news,2385,1349,288722
71,Deadly car bomb detonates outside Moscow,#NAME?,08/22/2022,news,6379,4853,808787
72,Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,08/23/2022,news,1009,451,127803
73,Potential mass shooting foiled in Washington state,lHDn25SLgdk,08/22/2022,news,5630,1848,533947
74,🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,08/24/2022,news,686,18,56683
75,Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,08/19/2022,news,7277,1294,796750
76,Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,08/19/2022,news,695,121,159877
77,Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,08/20/2022,news,15854,5373,1465011
78,"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,08/22/2022,news,1030,10,187892
79,🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,08/24/2022,news,198,12,17763
80,Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,08/18/2022,news,7342,1531,932432
81,UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,08/23/2022,news,286,22,23135
82,Daughter of Russian ultra-nationalist killed in suspected car bomb attack,hPy7QFsTaLw,08/21/2022,news,2083,2195,164119
83,18 Million Under Flood Alerts Nationwide,s-XXxzZCkLg,08/21/2022,news,1728,665,212973
84,🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,bLHeJmGUyWQ,08/24/2022,news,180,16,13976
85,"Inside the war in Ukraine, 6 months since Russia invaded",h4VjpOOWzZ0,08/21/2022,news,1102,668,106690
86,"T. Raja Singh News: T. Raja Singh को जमानत मिली, टी राजा ने दिया था विवादित बयान| Latest News",CBNHQyXOcjE,08/23/2022,news,1688,796,89985
87,Why Netflix is Now Making Video Games,Ccc0GvjuqkQ,08/23/2022,gaming,8384,1307,176151
88,My New House Gaming Setup is SICK!,4mgePWWCAmA,08/23/2022,gaming,63825,3338,1564007
89,ROBLOX ATHLETES TYCOON,wXjxEphvceM,08/24/2022,gaming,4163,618,133933
90,Naik Wahana Roller Coaster! - Runner Coaster,iRxsHyRJnnQ,08/24/2022,gaming,2925,121,99244
91,I OPENED MY OWN ARCADE SHOP,WBK2_lD7KGA,08/24/2022,gaming,298406,15609,3773387
92,[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire,RRaznaiwf9A,08/24/2022,gaming,549,29,16307
93,What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING,YeqhIN6Dg_U,08/22/2022,gaming,2170,282,126228
94,"Tonnenweise GANZ NEUE Games, Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022",4ndP7aEL48w,08/23/2022,gaming,1365,256,46436
